unit_induk,kode_unit_pelaksana,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,TECHNICIAN MANAJEMEN KONSTRUKSI JARINGAN,G2,118
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER VERIFIKASI,G2,50
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER HUKUM,G2,49
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3212,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,45
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,43
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3217,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,43
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,TECHNICIAN MANAJEMEN KONSTRUKSI PEMBANGKITAN,G2,42
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3215,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,41
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7631,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,38
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3516,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,35
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6312,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) KANTOR PUSAT,1001,SENIOR OFFICER VERIFIKASI,G3,31
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3513,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,31
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3512,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,30
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3517,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,29
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5456,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,27
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5156,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,27
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",6514,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,27
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3512,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,27
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3211,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,26
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3614,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,26
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER PEMBAYARAN UNIT,G2,25
PT PLN (PERSERO) PUSAT SERTIFIKASI,8601,TECHNICIAN PENGELOLAAN PENGUJIAN SISTEM PEMBANGKIT,G2,24
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7424,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,24
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3513,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,24
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3211,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,23
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3412,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,23
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3515,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,23
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3516,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,23
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3517,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,23
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5213,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,22
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3612,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,22
PT PLN (PERSERO) PUSAT SERTIFIKASI,8601,TECHNICIAN KOMISIONING SISTEM PEMBANGKIT,G2,21
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,5581,TECHNICIAN PDKB,G2,21
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3514,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,21
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3412,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,20
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3414,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,20
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3613,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,20
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7731,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,20
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7811,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,20
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7614,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,20
PT PLN (PERSERO) PUSAT SERTIFIKASI,8601,SENIOR TECHNICIAN INSPEKSI DAN KOMISIONING SISTEM PEMBANGKIT,G3,19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5256,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5115,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6312,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,19
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3213,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,7156,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,18
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",6513,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,18
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3216,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,18
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3611,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,18
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3614,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,18
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3615,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,18
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7631,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN PUSAT LISTRIK,G2,18
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5456,SENIOR OFFICER KINERJA PEMELIHARAAN,G3,17
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3411,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,17
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3413,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,17
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3413,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,17
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3513,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,17
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,5582,TECHNICIAN PDKB,G2,16
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5217,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,16
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6312,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3511,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3514,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3514,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3515,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3515,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,16
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3612,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,16
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7741,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,16
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER ANGGARAN,G2,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,5583,TECHNICIAN PDKB,G2,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5219,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5223,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5119,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5123,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,15
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7427,JUNIOR TECHNICIAN PDKB,G1,15
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3223,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,15
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3416,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,15
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3518,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,15
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7743,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,5581,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,14
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,6456,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,14
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7428,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,14
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",7311,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,14
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,6214,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,14
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3224,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,14
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3411,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,14
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3512,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,14
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7732,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,14
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7811,JUNIOR TECHNICIAN PDKB,G1,14
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7841,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,14
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5456,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5211,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5216,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5115,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5115,TEAM LEADER PELAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5115,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5115,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5121,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,7212,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,7256,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,13
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7414,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,13
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7428,JUNIOR TECHNICIAN PDKB,G1,13
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",7315,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6313,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,6217,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3411,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3514,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3515,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3518,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3612,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3612,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,13
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3613,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,13
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7601,TECHNICIAN KONSTRUKSI LISTRIK PERDESAAN,G2,13
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7614,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,13
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5217,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5120,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,6812,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,12
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7428,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,12
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",7311,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,12
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",7311,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6356,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2518,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3211,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3211,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3212,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3214,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,12
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3222,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,12
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3415,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,12
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3416,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,12
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3515,SENIOR OFFICER KINERJA DAN ADMINISTRASI TRANSMISI DAN GARDU INDUK,G3,12
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3517,SENIOR OFFICER KINERJA DAN ADMINISTRASI TRANSMISI DAN GARDU INDUK,G3,12
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3518,SENIOR OFFICER KINERJA DAN ADMINISTRASI TRANSMISI DAN GARDU INDUK,G3,12
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7713,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,12
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7811,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,12
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7841,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,12
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7611,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6112,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6113,TEAM LEADER PELAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6113,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6113,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6156,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,5616,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5401,SENIOR OFFICER ASET PROPERTI DAN UMUM,G3,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,5313,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,5356,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5212,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5111,SENIOR OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G3,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,TEAM LEADER PELAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5116,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5121,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,6812,JUNIOR TECHNICIAN PDKB,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,7111,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,7211,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,11
